id,position,glasses,eye0,eye1,screen,pupil,car,tb,house,sc,tc,tsb
62449968,sitting,0,0,0,0,0,0,0,0,0,0,0
41804101,sitting,0,0,0,0,0,0,0,0,0,0,0
36594506,sitting,0,0,0,0,0,0,0,0,0,0,0
69907732,sitting,1,0,1,1,3,1,1,1,1,1,1
6184491,sitting,0,1,1,3,2,1,1,1,1,1,1
19125832,sitting,0,1,1,3,3,0,1,1,1,1,1
21053630,sitting,1,1,0,4,3,1,1,1,1,1,1
21153321,sitting,0,1,1,2,2,1,1,1,1,1,1
27194039,sitting,0,0,1,3,2,1,1,1,1,1,1
27011494,sitting,0,1,0,4,1,1,1,1,1,1,1
51230424,sitting,1,0,1,4,2,1,1,1,1,1,1
89364598,sitting,0,1,1,2,3,1,1,1,1,1,1
68635455,sitting,0,1,0,2,2,1,1,1,1,1,1
74765700,sitting,0,1,0,3,3,1,1,1,1,1,1
96434938,sitting,0,1,1,4,3,1,1,1,1,1,1
21347602,sitting,0,1,1,4,1,1,1,1,1,1,1
21843109,sitting,0,1,1,4,3,1,1,1,1,1,1
41271188,sitting,1,0,1,4,1,1,1,1,1,1,1
39877408,sitting,0,1,1,4,3,1,1,1,1,1,1
98811232,sitting,0,1,0,2,2,1,1,1,1,1,1
62434514,standing,0,0,1,3,1,1,1,1,1,1,1
46309944,standing,0,1,1,4,3,1,1,1,1,1,1
34053055,standing,0,1,1,3,3,1,1,1,1,1,1
